"stem","heat_flux_kW_m2","original_split","released_split","audio_csv","video_100fps","background","heating_roi"
"0","0","train","train_50pct_representative","audio_csv/0.csv","video_100fps/0.mp4","background/0.jpg","Heating_ROI/0.png"
"5_10","5","train","train_50pct_representative","audio_csv/5_10.csv","video_100fps/5_10.mp4","background/5_10.jpg","Heating_ROI/5_10.png"
"5_2","5","train","train_50pct_representative","audio_csv/5_2.csv","video_100fps/5_2.mp4","background/5_2.jpg","Heating_ROI/5_2.png"
"5_3","5","train","train_50pct_representative","audio_csv/5_3.csv","video_100fps/5_3.mp4","background/5_3.jpg","Heating_ROI/5_3.png"
"5_4","5","train","train_50pct_representative","audio_csv/5_4.csv","video_100fps/5_4.mp4","background/5_4.jpg","Heating_ROI/5_4.png"
"5_5","5","train","train_50pct_representative","audio_csv/5_5.csv","video_100fps/5_5.mp4","background/5_5.jpg","Heating_ROI/5_5.png"
"5_6","5","train","train_50pct_representative","audio_csv/5_6.csv","video_100fps/5_6.mp4","background/5_6.jpg","Heating_ROI/5_6.png"
"5_7","5","train","train_50pct_representative","audio_csv/5_7.csv","video_100fps/5_7.mp4","background/5_7.jpg","Heating_ROI/5_7.png"
"5_8","5","train","train_50pct_representative","audio_csv/5_8.csv","video_100fps/5_8.mp4","background/5_8.jpg","Heating_ROI/5_8.png"
"5_9","5","train","train_50pct_representative","audio_csv/5_9.csv","video_100fps/5_9.mp4","background/5_9.jpg","Heating_ROI/5_9.png"
"20_1","20","train","train_50pct_representative","audio_csv/20_1.csv","video_100fps/20_1.mp4","background/20_1.jpg","Heating_ROI/20_1.png"
"20_10","20","train","train_50pct_representative","audio_csv/20_10.csv","video_100fps/20_10.mp4","background/20_10.jpg","Heating_ROI/20_10.png"
"20_2","20","train","train_50pct_representative","audio_csv/20_2.csv","video_100fps/20_2.mp4","background/20_2.jpg","Heating_ROI/20_2.png"
"20_4","20","train","train_50pct_representative","audio_csv/20_4.csv","video_100fps/20_4.mp4","background/20_4.jpg","Heating_ROI/20_4.png"
"20_5","20","train","train_50pct_representative","audio_csv/20_5.csv","video_100fps/20_5.mp4","background/20_5.jpg","Heating_ROI/20_5.png"
"20_6","20","train","train_50pct_representative","audio_csv/20_6.csv","video_100fps/20_6.mp4","background/20_6.jpg","Heating_ROI/20_6.png"
"20_8","20","train","train_50pct_representative","audio_csv/20_8.csv","video_100fps/20_8.mp4","background/20_8.jpg","Heating_ROI/20_8.png"
"30_1","30","train","train_50pct_representative","audio_csv/30_1.csv","video_100fps/30_1.mp4","background/30_1.jpg","Heating_ROI/30_1.png"
"30_10","30","train","train_50pct_representative","audio_csv/30_10.csv","video_100fps/30_10.mp4","background/30_10.jpg","Heating_ROI/30_10.png"
"30_3","30","train","train_50pct_representative","audio_csv/30_3.csv","video_100fps/30_3.mp4","background/30_3.jpg","Heating_ROI/30_3.png"
